,Sentence,Tagged_Sentence
0,nak coin oii,"[('nak', 'AUX'), ('coin', 'NOUN'), ('oii', 'X')]"
1,Package-very thin bubble wrap,"[('package-very', 'NOUN'), ('thin', 'ADJ'), ('bubble', 'NOUN'), ('wrap', 'NOUN')]"
2,Kaki saiz 38 tpi tngok ukuran kena amik saiz 42,"[('kaki', 'NOUN'), ('saiz', 'X'), ('38', 'NUM'), ('tpi', 'CCONJ'), ('tngok', 'VERB'), ('ukuran', 'NOUN'), ('kena', 'VERB'), ('amik', 'X'), ('saiz', 'X'), ('42', 'NUM')]"
3,Tapi ingat kan dapat yg unicorn mcm dlm gambar tapi doreamon yg dapat satu je pulak tu ingatkan satu box huhuhu takpela mungkin sy salah faham,"[('tapi', 'X'), ('ingat', 'ADV'), ('kan', 'VERB'), ('dapat', 'VERB'), ('yg', 'X'), ('unicorn', 'X'), ('mcm', 'X'), ('dlm', 'X'), ('gambar', 'NOUN'), ('tapi', 'CCONJ'), ('doreamon', 'NOUN'), ('yg', 'X'), ('dapat', 'VERB'), ('satu', 'X'), ('je', 'X'), ('pulak', 'ADV'), ('tu', 'X'), ('ingatkan', 'VERB'), ('satu', 'NUM'), ('box', 'NOUN'), ('huhuhu', 'X'), ('takpela', 'X'), ('mungkin', 'X'), ('sy', 'X'), ('salah', 'ADJ'), ('faham', 'NOUN')]"
4,2 warne seakan sme,"[('2', 'NUM'), ('warne', 'NOUN'), ('seakan', 'VERB'), ('sme', 'ADJ')]"
5,Selebihnya kita menggunakan khidmat pemain sedia ada dan membawa masuk empat pemain daripada TFC II bagi memantapkan lagi pasukan,"[('selebihnya', 'ADJ'), ('kita', 'NOUN'), ('menggunakan', 'VERB'), ('khidmat', 'ADJ'), ('pemain', 'NOUN'), ('sedia', 'NOUN'), ('ada', 'VERB'), ('dan', 'CCONJ'), ('membawa', 'ADJ'), ('masuk', 'NOUN'), ('empat', 'ADJ'), ('pemain', 'NOUN'), ('daripada', 'X'), ('tfc', 'X'), ('ii', 'X'), ('bagi', 'NOUN'), ('memantapkan', 'VERB'), ('lagi', 'ADV'), ('pasukan', 'VERB')]"
6,Cari Album gambar,"[('cari', 'X'), ('album', 'X'), ('gambar', 'NOUN')]"
7,Very recommended pada yang nak pakai untuk short term,"[('very', 'ADV'), ('recommended', 'VERB'), ('pada', 'ADV'), ('yang', 'SCONJ'), ('nak', 'AUX'), ('pakai', 'VERB'), ('untuk', 'ADP'), ('short', 'ADJ'), ('term', 'NOUN')]"
8,If u need pls rmb to request,"[('if', 'ADP'), ('u', 'PRON'), ('need', 'VERB'), ('pls', 'NOUN'), ('rmb', 'NOUN'), ('to', 'PART'), ('request', 'VERB')]"
9,Perhaps we need to hold a fundraising campaign,"[('perhaps', 'ADV'), ('we', 'PRON'), ('need', 'VERB'), ('to', 'AUX'), ('hold', 'VERB'), ('a', 'DET'), ('fundraising', 'ADJ'), ('campaign', 'NOUN')]"
10,"TOKYO (Reuters) - Japan's Chief Cabinet Secretary Yoshihide Suga, a frontrunner to become next prime minister, said on Wednesday that strong economic growth is necessary to pursue fiscal reform","[('tokyo', 'NOUN'), ('(', 'PUNCT'), ('reuters', 'NOUN'), (')', 'PUNCT'), ('-', 'PUNCT'), ('japan', 'NOUN'), (""'s"", 'PART'), ('chief', 'NOUN'), ('cabinet', 'NOUN'), ('secretary', 'ADJ'), ('yoshihide', 'NOUN'), ('suga', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('frontrunner', 'NOUN'), ('to', 'PART'), ('become', 'VERB'), ('next', 'ADJ'), ('prime', 'NOUN'), ('minister', 'NOUN'), (',', 'PUNCT'), ('said', 'VERB'), ('on', 'ADP'), ('wednesday', 'NOUN'), ('that', 'ADP'), ('strong', 'ADJ'), ('economic', 'ADJ'), ('growth', 'NOUN'), ('is', 'VERB'), ('necessary', 'ADJ'), ('to', 'PART'), ('pursue', 'VERB'), ('fiscal', 'ADJ'), ('reform', 'NOUN')]"
11,fast delivery & the packaging are so good + thank you for the free gift!,"[('fast', 'ADJ'), ('delivery', 'NOUN'), ('&', 'CCONJ'), ('the', 'DET'), ('packaging', 'NOUN'), ('are', 'VERB'), ('so', 'ADV'), ('good', 'ADJ'), ('+', 'PUNCT'), ('thank', 'VERB'), ('you', 'PRON'), ('for', 'ADP'), ('the', 'DET'), ('free', 'ADJ'), ('gift', 'NOUN'), ('!', 'PUNCT')]"
12,"Selected Tesla drivers have been beta testing the software on public roads, a practice that critics say endangers others because the software has flaws and the drivers are untrained","[('selected', 'VERB'), ('tesla', 'ADJ'), ('drivers', 'NOUN'), ('have', 'VERB'), ('been', 'VERB'), ('beta', 'ADV'), ('testing', 'VERB'), ('the', 'DET'), ('software', 'NOUN'), ('on', 'ADP'), ('public', 'ADJ'), ('roads', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('practice', 'NOUN'), ('that', 'ADP'), ('critics', 'NOUN'), ('say', 'VERB'), ('endangers', 'NOUN'), ('others', 'NOUN'), ('because', 'ADP'), ('the', 'DET'), ('software', 'NOUN'), ('has', 'VERB'), ('flaws', 'NOUN'), ('and', 'CCONJ'), ('the', 'DET'), ('drivers', 'NOUN'), ('are', 'VERB'), ('untrained', 'VERB')]"
13,"penjual yang baik ,","[('penjual', 'NOUN'), ('yang', 'PART'), ('baik', 'ADJ'), (',', 'PUNCT')]"
14,"tq n baju agak labuh, lengan sgt lebar","[('tq', 'X'), ('n', 'X'), ('baju', 'NOUN'), ('agak', 'ADV'), ('labuh', 'ADJ'), (',', 'PUNCT'), ('lengan', 'VERB'), ('sgt', 'X'), ('lebar', 'ADJ')]"
15,Setakat ni xde apa2 kerosakan lg,"[('setakat', 'VERB'), ('ni', 'X'), ('xde', 'X'), ('apa2', 'X'), ('kerosakan', 'VERB'), ('lg', 'X')]"
16,"Bau mcm ok,","[('bau', 'X'), ('mcm', 'X'), ('ok', 'ADJ'), (',', 'PUNCT')]"
17,"Trusted seller 6 kali repeat beli,","[('trusted', 'VERB'), ('seller', 'NOUN'), ('6', 'NUM'), ('kali', 'NOUN'), ('repeat', 'VERB'), ('beli', 'VERB'), (',', 'PUNCT')]"
18,"yg ini set empty, so x de lagi dlm isinya nnti kena beli","[('yg', 'X'), ('ini', 'PRON'), ('set', 'VERB'), ('empty', 'NOUN'), (',', 'PUNCT'), ('so', 'ADV'), ('x', 'X'), ('de', 'X'), ('lagi', 'ADV'), ('dlm', 'X'), ('isinya', 'VERB'), ('nnti', 'X'), ('kena', 'VERB'), ('beli', 'VERB')]"
19,"Penghantaran cepat , packaging baik Maggie tk hancur","[('penghantaran', 'NOUN'), ('cepat', 'ADJ'), (',', 'PUNCT'), ('packaging', 'NOUN'), ('baik', 'ADJ'), ('maggie', 'NOUN'), ('tk', 'X'), ('hancur', 'X')]"
20,Untuk rumah yang kecil sangat2 sesuai la ye,"[('untuk', 'ADP'), ('rumah', 'NOUN'), ('yang', 'PART'), ('kecil', 'NOUN'), ('sangat2', 'X'), ('sesuai', 'ADJ'), ('la', 'INTJ'), ('ye', 'INTJ')]"
21,Die pun suka,"[('die', 'VERB'), ('pun', 'ADV'), ('suka', 'VERB')]"
22,repeat lagi sbb de perubahan terbaikkk,"[('repeat', 'VERB'), ('lagi', 'ADV'), ('sbb', 'VERB'), ('de', 'X'), ('perubahan', 'X'), ('terbaikkk', 'X')]"
23,The packaging of product is in order,"[('the', 'DET'), ('packaging', 'NOUN'), ('of', 'ADP'), ('product', 'NOUN'), ('is', 'VERB'), ('in', 'ADP'), ('order', 'NOUN')]"
24,the colour also match as the pic that was provided by the seller !,"[('the', 'DET'), ('colour', 'NOUN'), ('also', 'ADV'), ('match', 'VERB'), ('as', 'ADP'), ('the', 'DET'), ('pic', 'NOUN'), ('that', 'ADP'), ('was', 'VERB'), ('provided', 'VERB'), ('by', 'ADP'), ('the', 'DET'), ('seller', 'NOUN'), ('!', 'PUNCT')]"
25,5GOODrekeman belizan,"[('5goodrekeman', 'NOUN'), ('belizan', 'VERB')]"
26,Charger Spoild,"[('charger', 'NOUN'), ('spoild', 'VERB')]"
27,Super Pretty & easy to apply,"[('super', 'ADV'), ('pretty', 'ADV'), ('&', 'PUNCT'), ('easy', 'ADJ'), ('to', 'PART'), ('apply', 'VERB')]"
28,sesuai untuk budak budak sebab tempat pengang dia kecik,"[('sesuai', 'ADJ'), ('untuk', 'ADP'), ('budak', 'NOUN'), ('budak', 'NOUN'), ('sebab', 'ADV'), ('tempat', 'ADJ'), ('pengang', 'NOUN'), ('dia', 'PRON'), ('kecik', 'ADJ')]"
29,It's totally worth it,"[('it', 'PRON'), (""'s"", 'VERB'), ('totally', 'ADV'), ('worth', 'ADJ'), ('it', 'PRON')]"
30,"The item has arrived safely, it's very good, the item is as expected","[('the', 'DET'), ('item', 'NOUN'), ('has', 'VERB'), ('arrived', 'VERB'), ('safely', 'ADV'), (',', 'PUNCT'), ('it', 'PRON'), (""'s"", 'VERB'), ('very', 'ADV'), ('good', 'ADJ'), (',', 'PUNCT'), ('the', 'DET'), ('item', 'NOUN'), ('is', 'VERB'), ('as', 'ADP'), ('expected', 'VERB')]"
31,tq seller mmg urgent nk gune,"[('tq', 'X'), ('seller', 'NOUN'), ('mmg', 'X'), ('urgent', 'ADV'), ('nk', 'X'), ('gune', 'NOUN')]"
32,So easy to shop!,"[('so', 'ADV'), ('easy', 'ADJ'), ('to', 'PART'), ('shop', 'NOUN'), ('!', 'PUNCT')]"
33,Buat hadiah utk family Day nanti,"[('buat', 'NOUN'), ('hadiah', 'VERB'), ('utk', 'X'), ('family', 'NOUN'), ('day', 'NOUN'), ('nanti', 'X')]"
34,Tapi baru cuci sekali leher dah kembang,"[('tapi', 'X'), ('baru', 'ADJ'), ('cuci', 'ADJ'), ('sekali', 'NOUN'), ('leher', 'ADV'), ('dah', 'ADV'), ('kembang', 'VERB')]"
35,Legging untuk kakak dah sampai,"[('legging', 'VERB'), ('untuk', 'ADP'), ('kakak', 'NOUN'), ('dah', 'ADV'), ('sampai', 'VERB')]"
36,seller n courier lambat,"[('seller', 'NOUN'), ('n', 'X'), ('courier', 'NOUN'), ('lambat', 'ADJ')]"
37,"barang diterima seperti dalam gambar, cantik dan menarik, terima kasih, rasa nk order lg","[('barang', 'NOUN'), ('diterima', 'VERB'), ('seperti', 'ADJ'), ('dalam', 'ADP'), ('gambar', 'NOUN'), (',', 'PUNCT'), ('cantik', 'ADJ'), ('dan', 'CCONJ'), ('menarik', 'ADJ'), (',', 'PUNCT'), ('terima', 'VERB'), ('kasih', 'NOUN'), (',', 'PUNCT'), ('rasa', 'NOUN'), ('nk', 'X'), ('order', 'VERB'), ('lg', 'X')]"
38,"Besar puas hati murah,","[('besar', 'ADJ'), ('puas', 'ADJ'), ('hati', 'NOUN'), ('murah', 'ADJ'), (',', 'PUNCT')]"
39,42mil a year ago,"[('42mil', 'NOUN'), ('a', 'DET'), ('year', 'NOUN'), ('ago', 'ADV')]"
40,N semua cantik2,"[('n', 'X'), ('semua', 'DET'), ('cantik2', 'X')]"
41,Excellent tq seller,"[('excellent', 'ADJ'), ('tq', 'X'), ('seller', 'NOUN')]"
42,delivery was a bit late since from china,"[('delivery', 'NOUN'), ('was', 'VERB'), ('a', 'DET'), ('bit', 'NOUN'), ('late', 'ADJ'), ('since', 'NOUN'), ('from', 'ADP'), ('china', 'NOUN')]"
43,"thumps up for the price, quality , and services","[('thumps', 'VERB'), ('up', 'ADP'), ('for', 'ADP'), ('the', 'DET'), ('price', 'NOUN'), (',', 'PUNCT'), ('quality', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('services', 'NOUN')]"
44,Saya hanya menghafal skrip tanpa benar-benar memahami maksudnya,"[('saya', 'PRON'), ('hanya', 'VERB'), ('menghafal', 'ADJ'), ('skrip', 'NOUN'), ('tanpa', 'NOUN'), ('benar-benar', 'ADJ'), ('memahami', 'NOUN'), ('maksudnya', 'NOUN')]"
45,"kualiti kain ok la pdan dgn harga,harga sgt murah,penghantaran sgt laju","[('kualiti', 'NOUN'), ('kain', 'NOUN'), ('ok', 'ADJ'), ('la', 'INTJ'), ('pdan', 'VERB'), ('dgn', 'X'), ('harga', 'NOUN'), (',', 'PUNCT'), ('harga', 'NOUN'), ('sgt', 'X'), ('murah', 'ADJ'), (',', 'PUNCT'), ('penghantaran', 'NOUN'), ('sgt', 'X'), ('laju', 'ADJ')]"
46,Thankkksss,"[('thankkksss', 'X')]"
47,Harga berbaloi dan Mikoe suka,"[('harga', 'NOUN'), ('berbaloi', 'ADJ'), ('dan', 'CCONJ'), ('mikoe', 'NOUN'), ('suka', 'VERB')]"
48,Please offer more,"[('please', 'ADV'), ('offer', 'VERB'), ('more', 'ADV')]"
49,Really moisturising,"[('really', 'ADV'), ('moisturising', 'VERB')]"
50,"30 petang, sebelum mengadakan majlis resepsi di Klang, sebelah malam","[('30', 'NUM'), ('petang', 'NOUN'), (',', 'PUNCT'), ('sebelum', 'ADV'), ('mengadakan', 'VERB'), ('majlis', 'VERB'), ('resepsi', 'NOUN'), ('di', 'ADP'), ('klang', 'NOUN'), (',', 'PUNCT'), ('sebelah', 'ADJ'), ('malam', 'NOUN')]"
51,"baju dah smpai , kain ok semua mantap","[('baju', 'NOUN'), ('dah', 'ADV'), ('smpai', 'VERB'), (',', 'PUNCT'), ('kain', 'NOUN'), ('ok', 'ADJ'), ('semua', 'ADJ'), ('mantap', 'ADJ')]"
52,Yohohoho,"[('yohohoho', 'INTJ')]"
53,"Semua okey, tak tebal sangat, tak nipis sangat","[('semua', 'DET'), ('okey', 'ADJ'), (',', 'PUNCT'), ('tak', 'ADV'), ('tebal', 'ADJ'), ('sangat', 'ADV'), (',', 'PUNCT'), ('tak', 'ADV'), ('nipis', 'ADJ'), ('sangat', 'ADV')]"
54,"Bau dia betullah sangat2 segar, rasa seuai la nama dia bay side tree","[('bau', 'NOUN'), ('dia', 'PRON'), ('betullah', 'VERB'), ('sangat2', 'X'), ('segar', 'NOUN'), (',', 'PUNCT'), ('rasa', 'NOUN'), ('seuai', 'VERB'), ('la', 'INTJ'), ('nama', 'X'), ('dia', 'PRON'), ('bay', 'NOUN'), ('side', 'NOUN'), ('tree', 'X')]"
55,"Beg cantik dan bagus,","[('beg', 'VERB'), ('cantik', 'ADJ'), ('dan', 'CCONJ'), ('bagus', 'ADJ'), (',', 'PUNCT')]"
56,Just size memang besar even free size,"[('just', 'ADV'), ('size', 'NOUN'), ('memang', 'ADV'), ('besar', 'ADJ'), ('even', 'ADV'), ('free', 'ADJ'), ('size', 'NOUN')]"
57,And when i plug in earphone,"[('and', 'CCONJ'), ('when', 'X'), ('i', 'PRON'), ('plug', 'NOUN'), ('in', 'ADP'), ('earphone', 'NOUN')]"
58,$MENTION$ Palkir adobe is king,"[('$', 'SYM'), ('mention', 'NOUN'), ('$', 'SYM'), ('palkir', 'NOUN'), ('adobe', 'NOUN'), ('is', 'VERB'), ('king', 'VERB')]"
59,Terboekkkkkjkkkkk memang jadi dah lah murah seller responsive record pakai mysejahtera ye gaes,"[('terboekkkkkjkkkkk', 'X'), ('memang', 'ADV'), ('jadi', 'ADV'), ('dah', 'ADJ'), ('lah', 'INTJ'), ('murah', 'ADJ'), ('seller', 'NOUN'), ('responsive', 'ADJ'), ('record', 'NOUN'), ('pakai', 'VERB'), ('mysejahtera', 'NOUN'), ('ye', 'NOUN'), ('gaes', 'NOUN')]"
60,Performance:Quality of product was good,"[('performance', 'NOUN'), (':', 'PUNCT'), ('quality', 'NOUN'), ('of', 'ADP'), ('product', 'NOUN'), ('was', 'VERB'), ('good', 'ADJ')]"
61,Thanks Ah Feng,"[('thanks', 'VERB'), ('ah', 'ADV'), ('feng', 'ADJ')]"
62,warna dia cantikkkkk i really like it,"[('warna', 'NOUN'), ('dia', 'PRON'), ('cantikkkkk', 'X'), ('i', 'PRON'), ('really', 'ADV'), ('like', 'VERB'), ('it', 'PRON')]"
63,"Dah smpai , Cuba dulu klau sesuai baru beli bnyak tq seller","[('dah', 'ADV'), ('smpai', 'X'), (',', 'PUNCT'), ('cuba', 'ADJ'), ('dulu', 'ADV'), ('klau', 'VERB'), ('sesuai', 'ADJ'), ('baru', 'NOUN'), ('beli', 'VERB'), ('bnyak', 'X'), ('tq', 'X'), ('seller', 'NOUN')]"
64,i already request for box shoes but seller didnot give it,"[('i', 'PRON'), ('already', 'ADV'), ('request', 'VERB'), ('for', 'ADP'), ('box', 'NOUN'), ('shoes', 'NOUN'), ('but', 'CCONJ'), ('seller', 'NOUN'), ('didnot', 'VERB'), ('give', 'VERB'), ('it', 'PRON')]"
65,Verry cute lama skit nk sampai but isokay just nice to go outt,"[('verry', 'ADV'), ('cute', 'ADJ'), ('lama', 'ADJ'), ('skit', 'NOUN'), ('nk', 'X'), ('sampai', 'VERB'), ('but', 'CCONJ'), ('isokay', 'VERB'), ('just', 'ADV'), ('nice', 'ADJ'), ('to', 'PART'), ('go', 'VERB'), ('outt', 'ADJ')]"
66,my 2nd time buying here,"[('my', 'PRON'), ('2nd', 'NOUN'), ('time', 'NOUN'), ('buying', 'VERB'), ('here', 'ADV')]"
67,Repeat balik kenangan makan dekat putrajaya lepas tu gaduh2 besar tu,"[('repeat', 'VERB'), ('balik', 'NOUN'), ('kenangan', 'VERB'), ('makan', 'NOUN'), ('dekat', 'VERB'), ('putrajaya', 'PRON'), ('lepas', 'VERB'), ('tu', 'DET'), ('gaduh2', 'X'), ('besar', 'ADJ'), ('tu', 'X')]"
68,"fast delivery , the black ver is really beautiful and i gof my bias pc IT'S REALLY BEAUTIFUL I LOVE ITTTTT THANK YOU ,","[('fast', 'ADJ'), ('delivery', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('black', 'NOUN'), ('ver', 'ADV'), ('is', 'VERB'), ('really', 'ADV'), ('beautiful', 'ADJ'), ('and', 'CCONJ'), ('i', 'PRON'), ('gof', 'ADP'), ('my', 'PRON'), ('bias', 'NOUN'), ('pc', 'VERB'), ('it', 'PRON'), (""'s"", 'VERB'), ('really', 'ADV'), ('beautiful', 'ADJ'), ('i', 'PRON'), ('love', 'VERB'), ('ittttt', 'X'), ('thank', 'VERB'), ('you', 'PRON'), (',', 'PUNCT')]"
69,Bought 2 pc for my daughter and me,"[('bought', 'VERB'), ('2', 'NUM'), ('pc', 'NOUN'), ('for', 'ADP'), ('my', 'PRON'), ('daughter', 'NOUN'), ('and', 'CCONJ'), ('me', 'PRON')]"
70,Better use grab service,"[('better', 'ADV'), ('use', 'VERB'), ('grab', 'PROPN'), ('service', 'NOUN')]"
71,Tp aku rasa apps tu yg berat xcun,"[('tp', 'X'), ('aku', 'PRON'), ('rasa', 'NOUN'), ('apps', 'NOUN'), ('tu', 'DET'), ('yg', 'X'), ('berat', 'VERB'), ('xcun', 'X')]"
72,"Product: All good, functioning and cheap","[('product', 'NOUN'), (':', 'PUNCT'), ('all', 'DET'), ('good', 'ADJ'), (',', 'PUNCT'), ('functioning', 'ADJ'), ('and', 'CCONJ'), ('cheap', 'ADJ')]"
73,Topi pun dapat warna yg saya nak,"[('topi', 'NOUN'), ('pun', 'ADV'), ('dapat', 'VERB'), ('warna', 'NOUN'), ('yg', 'X'), ('saya', 'PRON'), ('nak', 'AUX')]"
74,"Bought on 9may, shipped on 11May, received on 22th","[('bought', 'VERB'), ('on', 'ADP'), ('9may', 'NOUN'), (',', 'PUNCT'), ('shipped', 'VERB'), ('on', 'ADP'), ('11may', 'NUM'), (',', 'PUNCT'), ('received', 'VERB'), ('on', 'ADP'), ('22th', 'NUM')]"
75,Cepat n berkualiti,"[('cepat', 'ADJ'), ('n', 'X'), ('berkualiti', 'ADJ')]"
76,tapi ade part yg xcukop,"[('tapi', 'X'), ('ade', 'VERB'), ('part', 'NOUN'), ('yg', 'X'), ('xcukop', 'X')]"
77,thank you so muchh seller even though the liptint spilt almost half of it on the parcel,"[('thank', 'VERB'), ('you', 'PRON'), ('so', 'ADV'), ('muchh', 'ADJ'), ('seller', 'NOUN'), ('even', 'ADV'), ('though', 'ADP'), ('the', 'DET'), ('liptint', 'NOUN'), ('spilt', 'VERB'), ('almost', 'ADV'), ('half', 'DET'), ('of', 'ADP'), ('it', 'PRON'), ('on', 'ADP'), ('the', 'DET'), ('parcel', 'NOUN')]"
78,paperpun,"[('paperpun', 'NOUN')]"
79,My husband kata nanti beli 1 kotak terus eh ðŸ¤­,"[('my', 'PRON'), ('husband', 'NOUN'), ('kata', 'X'), ('nanti', 'X'), ('beli', 'VERB'), ('1', 'NUM'), ('kotak', 'NOUN'), ('terus', 'VERB'), ('eh', 'X')]"
80,Haha btw tenkiuu,"[('haha', 'INTJ'), ('btw', 'X'), ('tenkiuu', 'X')]"
81,kain tak nipis dan sngt selesa,"[('kain', 'NOUN'), ('tak', 'ADV'), ('nipis', 'ADJ'), ('dan', 'CCONJ'), ('sngt', 'VERB'), ('selesa', 'ADJ')]"
82,"Fast delivery good packaging, good product , cheap price repeat repeat repeat order recommended seller","[('fast', 'ADJ'), ('delivery', 'NOUN'), ('good', 'ADJ'), ('packaging', 'NOUN'), (',', 'PUNCT'), ('good', 'ADJ'), ('product', 'NOUN'), (',', 'PUNCT'), ('cheap', 'ADJ'), ('price', 'NOUN'), ('repeat', 'VERB'), ('repeat', 'VERB'), ('repeat', 'VERB'), ('order', 'VERB'), ('recommended', 'VERB'), ('seller', 'NOUN')]"
83,Terima face mask terus tunjuk anak,"[('terima', 'VERB'), ('face', 'NOUN'), ('mask', 'NOUN'), ('terus', 'ADV'), ('tunjuk', 'ADJ'), ('anak', 'NOUN')]"
84,Ambik masa seminggu nak sampai,"[('ambik', 'ADJ'), ('masa', 'NOUN'), ('seminggu', 'ADJ'), ('nak', 'AUX'), ('sampai', 'VERB')]"
85,"Semuanyaaaa terbaikkkk lahhhhh,","[('semuanyaaaa', 'X'), ('terbaikkkk', 'X'), ('lahhhhh', 'X'), (',', 'PUNCT')]"
86,A bit nipis tapi okay la dengan harga,"[('a', 'DET'), ('bit', 'NOUN'), ('nipis', 'ADJ'), ('tapi', 'CCONJ'), ('okay', 'ADJ'), ('la', 'INTJ'), ('dengan', 'ADP'), ('harga', 'NOUN')]"
87,"BRNG DAH SAMPAI , NASEB SMPAI AWAL SBB MMNG PERLU SNGD II MEKASIHHHH","[('brng', 'NOUN'), ('dah', 'ADV'), ('sampai', 'VERB'), (',', 'PUNCT'), ('naseb', 'X'), ('smpai', 'X'), ('awal', 'ADJ'), ('sbb', 'NOUN'), ('mmng', 'X'), ('perlu', 'X'), ('sngd', 'X'), ('ii', 'X'), ('mekasihhhh', 'X')]"
88,"The longest election was that of Giovanni Leone in 1971, who became head of state at the 23rd ballot in a vote that was spread out over 16 days","[('the', 'DET'), ('longest', 'ADJ'), ('election', 'NOUN'), ('was', 'VERB'), ('that', 'ADP'), ('of', 'ADP'), ('giovanni', 'ADJ'), ('leone', 'NOUN'), ('in', 'ADP'), ('1971', 'NUM'), (',', 'PUNCT'), ('who', 'PRON'), ('became', 'VERB'), ('head', 'NOUN'), ('of', 'ADP'), ('state', 'NOUN'), ('at', 'ADP'), ('the', 'DET'), ('23rd', 'PROPN'), ('ballot', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('vote', 'NOUN'), ('that', 'ADP'), ('was', 'VERB'), ('spread', 'VERB'), ('out', 'ADP'), ('over', 'ADP'), ('16', 'NUM'), ('days', 'NOUN')]"
89,Jgn jdi JNT sudah,"[('jgn', 'X'), ('jdi', 'X'), ('jnt', 'PROPN'), ('sudah', 'ADV')]"
90,Hairdryer ne xssuai utk aq sb aq dh biase pkai yg salon a,"[('hairdryer', 'NOUN'), ('ne', 'NOUN'), ('xssuai', 'X'), ('utk', 'X'), ('aq', 'X'), ('sb', 'X'), ('aq', 'X'), ('dh', 'X'), ('biase', 'X'), ('pkai', 'X'), ('yg', 'X'), ('salon', 'VERB'), ('a', 'DET')]"
91,2nd time ordered from seller and very good quality product,"[('2nd', 'NUM'), ('time', 'NOUN'), ('ordered', 'VERB'), ('from', 'ADP'), ('seller', 'NOUN'), ('and', 'CCONJ'), ('very', 'ADV'), ('good', 'ADJ'), ('quality', 'NOUN'), ('product', 'NOUN')]"
92,tiada kebocoran dan ketumpahan,"[('tiada', 'NOUN'), ('kebocoran', 'NOUN'), ('dan', 'CCONJ'), ('ketumpahan', 'VERB')]"
93,Your delivery is so convincing that I can't wait to try them and I'm never disappointed,"[('your', 'PRON'), ('delivery', 'NOUN'), ('is', 'VERB'), ('so', 'ADV'), ('convincing', 'VERB'), ('that', 'ADP'), ('i', 'PRON'), ('ca', 'VERB'), (""n't"", 'ADV'), ('wait', 'VERB'), ('to', 'PART'), ('try', 'VERB'), ('them', 'PRON'), ('and', 'CCONJ'), ('i', 'PRON'), (""'m"", 'VERB'), ('never', 'ADV'), ('disappointed', 'VERB')]"
94,"Sgt senyap,","[('sgt', 'X'), ('senyap', 'NOUN'), (',', 'PUNCT')]"
95,barang sampai dengan selamat tapi belum cube lagi di jaln,"[('barang', 'NOUN'), ('sampai', 'VERB'), ('dengan', 'ADP'), ('selamat', 'ADJ'), ('tapi', 'CCONJ'), ('belum', 'ADV'), ('cube', 'VERB'), ('lagi', 'ADV'), ('di', 'X'), ('jaln', 'X')]"
96,The was so awesome,"[('the', 'DET'), ('was', 'VERB'), ('so', 'ADV'), ('awesome', 'ADJ')]"
97,"Arghhhhhh so beautiful beli masa 18 sen haritu , Suka sngat dh la dpat murah , Suka sngat ii nnti boleh beli lagi","[('arghhhhhh', 'X'), ('so', 'ADV'), ('beautiful', 'ADJ'), ('beli', 'VERB'), ('masa', 'NOUN'), ('18', 'NUM'), ('sen', 'NOUN'), ('haritu', 'NOUN'), (',', 'PUNCT'), ('suka', 'VERB'), ('sngat', 'X'), ('dh', 'X'), ('la', 'INTJ'), ('dpat', 'ADV'), ('murah', 'ADJ'), (',', 'PUNCT'), ('suka', 'VERB'), ('sngat', 'ADV'), ('ii', 'X'), ('nnti', 'X'), ('boleh', 'X'), ('beli', 'VERB'), ('lagi', 'ADV')]"
98,Parcel delivered in good condition and measurement accurate,"[('parcel', 'NOUN'), ('delivered', 'VERB'), ('in', 'ADP'), ('good', 'ADJ'), ('condition', 'NOUN'), ('and', 'CCONJ'), ('measurement', 'NOUN'), ('accurate', 'ADJ')]"
99,RINGLIGHT BEST ADA 3 WARNA BOLEH TUKAR,"[('ringlight', 'NOUN'), ('best', 'ADJ'), ('ada', 'VERB'), ('3', 'NUM'), ('warna', 'NOUN'), ('boleh', 'VERB'), ('tukar', 'VERB')]"
